Tweets,Case_Folding,Data_Cleaning,without_stopwords,Tokenizing,tweet_normalized,stemmed
"#DriverStory 
Iseng2 daftar aplikasi belanja makanan secara online alias #Shopeefood. 
Lupa daftar sejak kapan. Sepertinya waktu daftar merchant #ShopeeFood juga, sejak Juli dan baru dipanggil kmrn 10/10
Bayar untuk jaket, helm dan tas 450k","#driverstory 
iseng2 daftar aplikasi belanja makanan secara online alias #shopeefood. 
lupa daftar sejak kapan. sepertinya waktu daftar merchant #shopeefood juga, sejak juli dan baru dipanggil kmrn 10/10
bayar untuk jaket, helm dan tas 450k",iseng daftar aplikasi belanja makanan secara online alias lupa daftar sejak kapan sepertinya waktu daftar merchant juga sejak juli dan baru dipanggil kmrn bayar untuk jaket helm dan tas k,iseng daftar aplikasi belanja makanan online alias lupa daftar daftar merchant juli dipanggil kmrn bayar jaket helm tas k,"['iseng', 'daftar', 'aplikasi', 'belanja', 'makanan', 'online', 'alias', 'lupa', 'daftar', 'daftar', 'merchant', 'juli', 'dipanggil', 'kmrn', 'bayar', 'jaket', 'helm', 'tas', 'k']",iseng daftar aplikasi belanja makanan online alias lupa daftar daftar merchant juli dipanggil kmrn bayar jaket helm tas k,"['iseng', 'daftar', 'aplikasi', 'belanja', 'makan', 'online', 'alias', 'lupa', 'daftar', 'daftar', 'merchant', 'juli', 'panggil', 'kmrn', 'bayar', 'jaket', 'helm', 'tas', 'k']"
"How can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. Untung mesennya bukan buat diri sendiri :)","how can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. untung mesennya bukan buat diri sendiri :)",how can it happen pesen shopeefood dan ternyata drivernya temen sendiri untung mesennya bukan buat diri sendiri,how can it happen pesen shopeefood drivernya temen untung mesennya,"['how', 'can', 'it', 'happen', 'pesen', 'shopeefood', 'drivernya', 'temen', 'untung', 'mesennya']",how can it happen pesan shopeefood drivernya temen untung mesennya,"['how', 'can', 'it', 'happen', 'pesan', 'shopeefood', 'drivernya', 'temen', 'untung', 'mesennya']"
langit bisakah kau turunkan 100 perak agar aku bisa makan karena aku order shopeefood totalnya 24.500 saldoku 24.427 terima kasih langit,langit bisakah kau turunkan 100 perak agar aku bisa makan karena aku order shopeefood totalnya 24.500 saldoku 24.427 terima kasih langit,langit bisakah kau turunkan perak agar aku bisa makan karena aku order shopeefood totalnya saldoku terima kasih langit,langit kau turunkan perak makan order shopeefood totalnya saldoku terima kasih langit,"['langit', 'kau', 'turunkan', 'perak', 'makan', 'order', 'shopeefood', 'totalnya', 'saldoku', 'terima', 'kasih', 'langit']",langit kau turunkan perak makan order shopeefood totalnya saldoku terima kasih langit,"['langit', 'kau', 'turun', 'perak', 'makan', 'order', 'shopeefood', 'total', 'saldo', 'terima', 'kasih', 'langit']"
Yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. Belum include uang parkir driver dan tips https://t.co/I4ICO0pKHu,yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. belum include uang parkir driver dan tips https://t.co/i4ico0pkhu,yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya belum include uang parkir driver dan tips,males jajan via shopeefood biaya terduganya include uang parkir driver tips,"['males', 'jajan', 'via', 'shopeefood', 'biaya', 'terduganya', 'include', 'uang', 'parkir', 'driver', 'tips']",males jajan via shopeefood biaya terduganya include uang parkir driver tips,"['males', 'jajan', 'via', 'shopeefood', 'biaya', 'duga', 'include', 'uang', 'parkir', 'driver', 'tips']"
@tanyaindeca lagi asik banget yee shopeefood,@tanyaindeca lagi asik banget yee shopeefood,lagi asik banget yee shopeefood,asik banget yee shopeefood,"['asik', 'banget', 'yee', 'shopeefood']",asik banget yee shopeefood,"['asik', 'banget', 'yee', 'shopeefood']"
"Driver shopeefood sampe udah hafal harus nganter kemana""nya 🤣

Tiap hari jajan temu orang"" Yg itu itu juga🤣

Tidur ah besok lembur lagi

Siapa tau bangun"" Jadi 2T lebih 300🤣

Babay❤ https://t.co/hGOO06BHKn","driver shopeefood sampe udah hafal harus nganter kemana""nya 🤣

tiap hari jajan temu orang"" yg itu itu juga🤣

tidur ah besok lembur lagi

siapa tau bangun"" jadi 2t lebih 300🤣

babay❤ https://t.co/hgoo06bhkn",driver shopeefood sampe udah hafal harus nganter kemananya tiap hari jajan temu orang yg itu itu juga tidur ah besok lembur lagi siapa tau bangun jadi t lebih babay,driver shopeefood sampe udah hafal nganter kemananya jajan temu orang tidur ah besok lembur bangun babay,"['driver', 'shopeefood', 'sampe', 'udah', 'hafal', 'nganter', 'kemananya', 'jajan', 'temu', 'orang', 'tidur', 'ah', 'besok', 'lembur', 'bangun', 'babay']",driver shopeefood sampe udah hafal nganter kemananya jajan temu orang tidur ah besok lembur bangun babay,"['driver', 'shopeefood', 'sampe', 'udah', 'hafal', 'nganter', 'mana', 'jajan', 'temu', 'orang', 'tidur', 'ah', 'besok', 'lembur', 'bangun', 'babay']"
Suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota🥲 https://t.co/Ye1lGykO5i,suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota🥲 https://t.co/ye1lgyko5i,suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota,suka iri orang grabfood gofood shopeefood lihat betapa jauhnya rumah kota,"['suka', 'iri', 'orang', 'grabfood', 'gofood', 'shopeefood', 'lihat', 'betapa', 'jauhnya', 'rumah', 'kota']",suka iri orang grabfood gofood shopeefood lihat betapa jauhnya rumah kota,"['suka', 'iri', 'orang', 'grabfood', 'gofood', 'shopeefood', 'lihat', 'betapa', 'jauh', 'rumah', 'kota']"
Hampir aja shopeefood salad lalu tiba-tiba inget tadi siang udah chatime 😭😭😭 pulang kerja sampai rumah ada croissant 1 box isi 9 juga udah disikat 3 😭😭😭 laper mulu ih heran,hampir aja shopeefood salad lalu tiba-tiba inget tadi siang udah chatime 😭😭😭 pulang kerja sampai rumah ada croissant 1 box isi 9 juga udah disikat 3 😭😭😭 laper mulu ih heran,hampir aja shopeefood salad lalu tibatiba inget tadi siang udah chatime pulang kerja sampai rumah ada croissant box isi juga udah disikat laper mulu ih heran,shopeefood salad tibatiba inget siang udah chatime pulang kerja rumah croissant box isi udah disikat laper mulu ih heran,"['shopeefood', 'salad', 'tibatiba', 'inget', 'siang', 'udah', 'chatime', 'pulang', 'kerja', 'rumah', 'croissant', 'box', 'isi', 'udah', 'disikat', 'laper', 'mulu', 'ih', 'heran']",shopeefood salad tibatiba inget siang udah chatime pulang kerja rumah croissant box isi udah disikat laper mulu ih heran,"['shopeefood', 'salad', 'tibatiba', 'inget', 'siang', 'udah', 'chatime', 'pulang', 'kerja', 'rumah', 'croissant', 'box', 'isi', 'udah', 'sikat', 'laper', 'mulu', 'ih', 'heran']"
@vidi2791 Mayan sih tp tadi emang laper terus sekalian beli 2 biar dapet potongan shopeefood wkwkwk,@vidi2791 mayan sih tp tadi emang laper terus sekalian beli 2 biar dapet potongan shopeefood wkwkwk,mayan sih tp tadi emang laper terus sekalian beli biar dapet potongan shopeefood wkwkwk,mayan tp emang laper beli dapet potongan shopeefood wkwkwk,"['mayan', 'tp', 'emang', 'laper', 'beli', 'dapet', 'potongan', 'shopeefood', 'wkwkwk']",mayan tapi emang laper beli dapat potongan shopeefood tertawa,"['mayan', 'tapi', 'emang', 'laper', 'beli', 'dapat', 'potong', 'shopeefood', 'tertawa']"
"yg mau dibeli pulsa, knp malah jd pesen shopeefood...","yg mau dibeli pulsa, knp malah jd pesen shopeefood...",yg mau dibeli pulsa knp malah jd pesen shopeefood,dibeli pulsa knp pesen shopeefood,"['dibeli', 'pulsa', 'knp', 'pesen', 'shopeefood']",dibeli pulsa knp pesan shopeefood,"['beli', 'pulsa', 'knp', 'pesan', 'shopeefood']"
"Ya allah w bercita2 bawa keluarga liburan ke bali, tapi pesen makan aja mikirnya setengah mati🥴 bandingin harga grabfood,shopeefood ama gofood ampe puyeng🥲","ya allah w bercita2 bawa keluarga liburan ke bali, tapi pesen makan aja mikirnya setengah mati🥴 bandingin harga grabfood,shopeefood ama gofood ampe puyeng🥲",ya allah w bercita bawa keluarga liburan ke bali tapi pesen makan aja mikirnya setengah mati bandingin harga grabfoodshopeefood ama gofood ampe puyeng,allah w bercita bawa keluarga liburan bali pesen makan mikirnya mati bandingin harga grabfoodshopeefood ama gofood ampe puyeng,"['allah', 'w', 'bercita', 'bawa', 'keluarga', 'liburan', 'bali', 'pesen', 'makan', 'mikirnya', 'mati', 'bandingin', 'harga', 'grabfoodshopeefood', 'ama', 'gofood', 'ampe', 'puyeng']",allah saya bercita bawa keluarga liburan bali pesan makan mikirnya mati bandingin harga grabfoodshopeefood ama gofood ampe puyeng,"['allah', 'saya', 'cita', 'bawa', 'keluarga', 'libur', 'bal', 'pesan', 'makan', 'mikirnya', 'mati', 'bandingin', 'harga', 'grabfoodshopeefood', 'ama', 'gofood', 'ampe', 'puyeng']"
Dapat order piktif 😢😢 #ShopeeFood https://t.co/HBspUNQ8UN,dapat order piktif 😢😢 #shopeefood https://t.co/hbspunq8un,dapat order piktif,order piktif,"['order', 'piktif']",order piktif,"['order', 'piktif']"
"Share &amp; Tag promo ini ke teman-temanmu yuk. Berlaku untuk Dine In, Take Away, Drive Thru serta Delivery atau bisa juga pesan di GrabFood, GoFood dan ShopeeFood ya McD’ers! 😁","share &amp; tag promo ini ke teman-temanmu yuk. berlaku untuk dine in, take away, drive thru serta delivery atau bisa juga pesan di grabfood, gofood dan shopeefood ya mcd’ers! 😁",share amp tag promo ini ke temantemanmu yuk berlaku untuk dine in take away drive thru serta delivery atau bisa juga pesan di grabfood gofood dan shopeefood ya mcders,share tag promo temantemanmu yuk berlaku dine in take away drive thru delivery pesan grabfood gofood shopeefood mcders,"['share', 'tag', 'promo', 'temantemanmu', 'yuk', 'berlaku', 'dine', 'in', 'take', 'away', 'drive', 'thru', 'delivery', 'pesan', 'grabfood', 'gofood', 'shopeefood', 'mcders']",share tag promo temantemanmu yuk berlaku dine in take away drive thru delivery pesan grabfood gofood shopeefood mcders,"['share', 'tag', 'promo', 'temantemanmu', 'yuk', 'laku', 'dine', 'in', 'take', 'away', 'drive', 'thru', 'delivery', 'pesan', 'grabfood', 'gofood', 'shopeefood', 'mcders']"
"SATGAS SHOPEE... SATUAN GARPU SENDOK... 
#shopeefood
#ojol
#nyopee
#food https://t.co/JoOUo3jcMA","satgas shopee... satuan garpu sendok... 
#shopeefood
#ojol
#nyopee
#food https://t.co/joouo3jcma",satgas shopee satuan garpu sendok,satgas shopee satuan garpu sendok,"['satgas', 'shopee', 'satuan', 'garpu', 'sendok']",satgas shopee satuan garpu sendok,"['satgas', 'shopee', 'satu', 'garpu', 'sendok']"
Shopeefood sekarang naik sepeda uyy 🤣✌ https://t.co/GPAV6HQD78,shopeefood sekarang naik sepeda uyy 🤣✌ https://t.co/gpav6hqd78,shopeefood sekarang naik sepeda uyy,shopeefood sepeda uyy,"['shopeefood', 'sepeda', 'uyy']",shopeefood sepeda uyy,"['shopeefood', 'sepeda', 'uyy']"
beli apa ya di shopeefood,beli apa ya di shopeefood,beli apa ya di shopeefood,beli shopeefood,"['beli', 'shopeefood']",beli shopeefood,"['beli', 'shopeefood']"
parenting guide by shopeefood no acapkali dan ita itu https://t.co/HTamXA0vxI,parenting guide by shopeefood no acapkali dan ita itu https://t.co/htamxa0vxi,parenting guide by shopeefood no acapkali dan ita itu,parenting guide by shopeefood no acapkali ita,"['parenting', 'guide', 'by', 'shopeefood', 'no', 'acapkali', 'ita']",parenting guide by shopeefood no acapkali ita,"['parenting', 'guide', 'by', 'shopeefood', 'no', 'acapkali', 'ita']"
Kenap kalo tiap order shopeefood drivernya gemes gini 😊 sehat terus mbaknya yaa https://t.co/XrdocWWUrq,kenap kalo tiap order shopeefood drivernya gemes gini 😊 sehat terus mbaknya yaa https://t.co/xrdocwwurq,kenap kalo tiap order shopeefood drivernya gemes gini sehat terus mbaknya yaa,kenap order shopeefood drivernya gemes gini sehat mbaknya yaa,"['kenap', 'order', 'shopeefood', 'drivernya', 'gemes', 'gini', 'sehat', 'mbaknya', 'yaa']",kenap order shopeefood drivernya gemes gini sehat mbaknya yaa,"['kenap', 'order', 'shopeefood', 'drivernya', 'gemes', 'gin', 'sehat', 'mbak', 'yaa']"
@acut11x @deyyins88 Lucu banget ah…sistemnya belom sempurna kali tuh… emang sih aku nya budak shopeefood banget,@acut11x @deyyins88 lucu banget ah…sistemnya belom sempurna kali tuh… emang sih aku nya budak shopeefood banget,lucu banget ahsistemnya belom sempurna kali tuh emang sih aku nya budak shopeefood banget,lucu banget ahsistemnya belom sempurna kali emang budak shopeefood banget,"['lucu', 'banget', 'ahsistemnya', 'belom', 'sempurna', 'kali', 'emang', 'budak', 'shopeefood', 'banget']",lucu banget ahsistemnya belom sempurna kali emang budak shopeefood banget,"['lucu', 'banget', 'ahsistemnya', 'bom', 'sempurna', 'kali', 'emang', 'budak', 'shopeefood', 'banget']"
"Serem gaksi kalo doa lu dikabulin instantly? Jadi gue habis pesen di shopeefood. Terus gak lama kemudian tiba2 ujan deres dan posisi abangnya udah otw. Terus gue berdoa, ngucapin berkali-kali ujanya stop dulu. Kasian abangnya 😭 ntar kalo abangnya udah baling, boleh ujan lagi","serem gaksi kalo doa lu dikabulin instantly? jadi gue habis pesen di shopeefood. terus gak lama kemudian tiba2 ujan deres dan posisi abangnya udah otw. terus gue berdoa, ngucapin berkali-kali ujanya stop dulu. kasian abangnya 😭 ntar kalo abangnya udah baling, boleh ujan lagi",serem gaksi kalo doa lu dikabulin instantly jadi gue habis pesen di shopeefood terus gak lama kemudian tiba ujan deres dan posisi abangnya udah otw terus gue berdoa ngucapin berkalikali ujanya stop dulu kasian abangnya ntar kalo abangnya udah baling boleh ujan lagi,serem gaksi doa lu dikabulin instantly gue habis pesen shopeefood ujan deres posisi abangnya udah otw gue berdoa ngucapin berkalikali ujanya stop kasian abangnya ntar abangnya udah baling ujan,"['serem', 'gaksi', 'doa', 'lu', 'dikabulin', 'instantly', 'gue', 'habis', 'pesen', 'shopeefood', 'ujan', 'deres', 'posisi', 'abangnya', 'udah', 'otw', 'gue', 'berdoa', 'ngucapin', 'berkalikali', 'ujanya', 'stop', 'kasian', 'abangnya', 'ntar', 'abangnya', 'udah', 'baling', 'ujan']",serem gaksi doa lu dikabulin instantly saya habis pesan shopeefood ujan deres posisi abangnya udah otw saya berdoa ngucapin berkalikali ujanya stop kasian abangnya ntar abangnya udah baling ujan,"['rem', 'gaksi', 'doa', 'lu', 'dikabulin', 'instantly', 'saya', 'habis', 'pesan', 'shopeefood', 'ujan', 'deres', 'posisi', 'abang', 'udah', 'otw', 'saya', 'doa', 'ngucapin', 'berkalikali', 'ujanya', 'stop', 'kasi', 'abang', 'ntar', 'abang', 'udah', 'baling', 'ujan']"
@vynenitsuga @deyyins88 EHHH IYA SAMAA AKU JG GRGR PK PROMO SHOPEEFOOD WKWKWKWK,@vynenitsuga @deyyins88 ehhh iya samaa aku jg grgr pk promo shopeefood wkwkwkwk,ehhh iya samaa aku jg grgr pk promo shopeefood wkwkwkwk,ehhh iya samaa jg grgr pk promo shopeefood wkwkwkwk,"['ehhh', 'iya', 'samaa', 'jg', 'grgr', 'pk', 'promo', 'shopeefood', 'wkwkwkwk']",ehhh iya samaa jg grgr pk promo shopeefood wkwkwkwk,"['ehhh', 'iya', 'samaa', 'jg', 'grgr', 'pk', 'promo', 'shopeefood', 'wkwkwkwk']"
@acut11x @vynenitsuga @ShopeeCare pelanggarannya karena pake promo shopeefood? Lah aneh bgt guna nya promo bisa di klik apa dong kalau ternyata waktu makai bikin akun kebatasi,@acut11x @vynenitsuga @shopeecare pelanggarannya karena pake promo shopeefood? lah aneh bgt guna nya promo bisa di klik apa dong kalau ternyata waktu makai bikin akun kebatasi,pelanggarannya karena pake promo shopeefood lah aneh bgt guna nya promo bisa di klik apa dong kalau ternyata waktu makai bikin akun kebatasi,pelanggarannya pake promo shopeefood aneh bgt promo klik makai akun kebatasi,"['pelanggarannya', 'pake', 'promo', 'shopeefood', 'aneh', 'bgt', 'promo', 'klik', 'makai', 'akun', 'kebatasi']",pelanggarannya pake promo shopeefood aneh bgt promo klik makai akun kebatasi,"['langgar', 'pake', 'promo', 'shopeefood', 'aneh', 'bgt', 'promo', 'klik', 'maka', 'akun', 'batas']"
pak shopeefood sampean kok lucu🤣 https://t.co/nIKLywI7rb,pak shopeefood sampean kok lucu🤣 https://t.co/niklywi7rb,pak shopeefood sampean kok lucu,shopeefood sampean lucu,"['shopeefood', 'sampean', 'lucu']",shopeefood sampean lucu,"['shopeefood', 'sampean', 'lucu']"
"Jog

Mas mbak, ada yg driver shopeefood? aku mau tanya"", kalau boleh like atau rep nanti ku ketuk dm, terimakasih.","jog

mas mbak, ada yg driver shopeefood? aku mau tanya"", kalau boleh like atau rep nanti ku ketuk dm, terimakasih.",jog mas mbak ada yg driver shopeefood aku mau tanya kalau boleh like atau rep nanti ku ketuk dm terimakasih,jog mas mbak driver shopeefood like rep ku ketuk dm terimakasih,"['jog', 'mas', 'mbak', 'driver', 'shopeefood', 'like', 'rep', 'ku', 'ketuk', 'dm', 'terimakasih']",jog mas mbak driver shopeefood like rep ku ketuk dm terimakasih,"['jog', 'mas', 'mbak', 'driver', 'shopeefood', 'like', 'rep', 'ku', 'ketuk', 'dm', 'terimakasih']"
"5. Ayam bakar paijo

ini ayam bakarnya enakkkk, bumbunya meresap smpe ketulang, sambelnya jg enakkkk, lembut ayamnya dan potongannya gede2 harganya cm 18rb, bisa gofud shopeefood dan grabfood.","5. ayam bakar paijo

ini ayam bakarnya enakkkk, bumbunya meresap smpe ketulang, sambelnya jg enakkkk, lembut ayamnya dan potongannya gede2 harganya cm 18rb, bisa gofud shopeefood dan grabfood.",ayam bakar paijo ini ayam bakarnya enakkkk bumbunya meresap smpe ketulang sambelnya jg enakkkk lembut ayamnya dan potongannya gede harganya cm rb bisa gofud shopeefood dan grabfood,ayam bakar paijo ayam bakarnya enakkkk bumbunya meresap smpe ketulang sambelnya jg enakkkk lembut ayamnya potongannya gede harganya cm rb gofud shopeefood grabfood,"['ayam', 'bakar', 'paijo', 'ayam', 'bakarnya', 'enakkkk', 'bumbunya', 'meresap', 'smpe', 'ketulang', 'sambelnya', 'jg', 'enakkkk', 'lembut', 'ayamnya', 'potongannya', 'gede', 'harganya', 'cm', 'rb', 'gofud', 'shopeefood', 'grabfood']",ayam bakar paijo ayam bakarnya enakkkk bumbunya meresap smpe ketulang sambelnya jg enakkkk lembut ayamnya potongannya gede harganya cm rb gofud shopeefood grabfood,"['ayam', 'bakar', 'paijo', 'ayam', 'bakar', 'enakkkk', 'bumbu', 'resap', 'smpe', 'tulang', 'sambelnya', 'jg', 'enakkkk', 'lembut', 'ayam', 'potong', 'gede', 'harga', 'cm', 'rb', 'gofud', 'shopeefood', 'grabfood']"
Belum aktif sih tapi gilak iam proud of myself!! Keren bgt pake jaket oren begini???? Bahkan ibuku bangga anaknya jadi driver shopeefood😝🥺❤️❤️❤️❤️ https://t.co/kexwQkawhY,belum aktif sih tapi gilak iam proud of myself!! keren bgt pake jaket oren begini???? bahkan ibuku bangga anaknya jadi driver shopeefood😝🥺❤️❤️❤️❤️ https://t.co/kexwqkawhy,belum aktif sih tapi gilak iam proud of myself keren bgt pake jaket oren begini bahkan ibuku bangga anaknya jadi driver shopeefood,aktif gilak iam proud of myself keren bgt pake jaket oren ibuku bangga anaknya driver shopeefood,"['aktif', 'gilak', 'iam', 'proud', 'of', 'myself', 'keren', 'bgt', 'pake', 'jaket', 'oren', 'ibuku', 'bangga', 'anaknya', 'driver', 'shopeefood']",aktif gilak iam proud of myself keren bgt pake jaket oren ibuku bangga anaknya driver shopeefood,"['aktif', 'gilak', 'iam', 'proud', 'of', 'myself', 'keren', 'bgt', 'pake', 'jaket', 'oren', 'ibu', 'bangga', 'anak', 'driver', 'shopeefood']"
@darjofess Gofood shopeefood seng biasanya tak pke grabfood pelit ambek aku diskone gk enak,@darjofess gofood shopeefood seng biasanya tak pke grabfood pelit ambek aku diskone gk enak,gofood shopeefood seng biasanya tak pke grabfood pelit ambek aku diskone gk enak,gofood shopeefood seng pke grabfood pelit ambek diskone gk enak,"['gofood', 'shopeefood', 'seng', 'pke', 'grabfood', 'pelit', 'ambek', 'diskone', 'gk', 'enak']",gofood shopeefood seng pke grabfood pelit ambek diskone tidak enak,"['gofood', 'shopeefood', 'seng', 'pke', 'grabfood', 'pelit', 'ambek', 'diskone', 'tidak', 'enak']"
"@thiirwall akun gue dibatasi jadi ga bisa login, tadi nelfon cs nyaa katanya ada pelanggaran promo shopeefood? gatau gue jg bingung padahal baru jg pake kemaren... ga paham :/","@thiirwall akun gue dibatasi jadi ga bisa login, tadi nelfon cs nyaa katanya ada pelanggaran promo shopeefood? gatau gue jg bingung padahal baru jg pake kemaren... ga paham :/",akun gue dibatasi jadi ga bisa login tadi nelfon cs nyaa katanya ada pelanggaran promo shopeefood gatau gue jg bingung padahal baru jg pake kemaren ga paham,akun gue dibatasi login nelfon cs nyaa pelanggaran promo shopeefood gatau gue jg bingung jg pake kemaren paham,"['akun', 'gue', 'dibatasi', 'login', 'nelfon', 'cs', 'nyaa', 'pelanggaran', 'promo', 'shopeefood', 'gatau', 'gue', 'jg', 'bingung', 'jg', 'pake', 'kemaren', 'paham']",akun saya dibatasi login nelfon cs nyaa pelanggaran promo shopeefood gatau saya jg bingung jg pake kemaren paham,"['akun', 'saya', 'batas', 'login', 'nelfon', 'cs', 'nyaa', 'langgar', 'promo', 'shopeefood', 'gatau', 'saya', 'jg', 'bingung', 'jg', 'pake', 'kemaren', 'paham']"
@shopeefood_id gimana mau nunggu abang shopeefood kalo belom gajian xixixii,@shopeefood_id gimana mau nunggu abang shopeefood kalo belom gajian xixixii,id gimana mau nunggu abang shopeefood kalo belom gajian xixixii,id gimana nunggu abang shopeefood belom gajian xixixii,"['id', 'gimana', 'nunggu', 'abang', 'shopeefood', 'belom', 'gajian', 'xixixii']",id gimana nunggu abang shopeefood belom gajian xixixii,"['id', 'gimana', 'nunggu', 'abang', 'shopeefood', 'bom', 'gaji', 'xixixii']"
Abis order shopeefood buat ortu trus mau order makan buat diri sendiri karena belom makan dari siang abis kerja eh begini sosad @ShopeeID @ShopeeCare https://t.co/gDPcOhf02D,abis order shopeefood buat ortu trus mau order makan buat diri sendiri karena belom makan dari siang abis kerja eh begini sosad @shopeeid @shopeecare https://t.co/gdpcohf02d,abis order shopeefood buat ortu trus mau order makan buat diri sendiri karena belom makan dari siang abis kerja eh begini sosad,abis order shopeefood ortu trus order makan belom makan siang abis kerja eh sosad,"['abis', 'order', 'shopeefood', 'ortu', 'trus', 'order', 'makan', 'belom', 'makan', 'siang', 'abis', 'kerja', 'eh', 'sosad']",abis order shopeefood ortu trus order makan belom makan siang abis kerja eh sosad,"['abis', 'order', 'shopeefood', 'ortu', 'trus', 'order', 'makan', 'bom', 'makan', 'siang', 'abis', 'kerja', 'eh', 'sosad']"
"@kertas_angin @ShopeeID @shopeefood_id Trus kelanjutannya gimana kak?:( aku baru minggu2 ini kena order fiktif, ud call cs nya tp belibet , cht di app udh, dm udah tp ga ada titik temu","@kertas_angin @shopeeid @shopeefood_id trus kelanjutannya gimana kak?:( aku baru minggu2 ini kena order fiktif, ud call cs nya tp belibet , cht di app udh, dm udah tp ga ada titik temu",angin id trus kelanjutannya gimana kak aku baru minggu ini kena order fiktif ud call cs nya tp belibet cht di app udh dm udah tp ga ada titik temu,angin id trus kelanjutannya gimana kak minggu kena order fiktif ud call cs tp belibet cht app udh dm udah tp titik temu,"['angin', 'id', 'trus', 'kelanjutannya', 'gimana', 'kak', 'minggu', 'kena', 'order', 'fiktif', 'ud', 'call', 'cs', 'tp', 'belibet', 'cht', 'app', 'udh', 'dm', 'udah', 'tp', 'titik', 'temu']",angin id trus kelanjutannya gimana kak minggu kena order fiktif ud call cs tapi belibet cht app udh dm udah tapi titik temu,"['angin', 'id', 'trus', 'lanjut', 'gimana', 'kak', 'minggu', 'kena', 'order', 'fiktif', 'ud', 'call', 'cs', 'tapi', 'belibet', 'cht', 'app', 'udh', 'dm', 'udah', 'tapi', 'titik', 'temu']"
Emg ada ya bapak bapak namanya Emma? Heran ih tiap jajan di shopeefood gue dipanggil pak mulu 😭😩,emg ada ya bapak bapak namanya emma? heran ih tiap jajan di shopeefood gue dipanggil pak mulu 😭😩,emg ada ya bapak bapak namanya emma heran ih tiap jajan di shopeefood gue dipanggil pak mulu,emg namanya emma heran ih jajan shopeefood gue dipanggil mulu,"['emg', 'namanya', 'emma', 'heran', 'ih', 'jajan', 'shopeefood', 'gue', 'dipanggil', 'mulu']",emg namanya emma heran ih jajan shopeefood saya dipanggil mulu,"['emg', 'nama', 'emma', 'heran', 'ih', 'jajan', 'shopeefood', 'saya', 'panggil', 'mulu']"
"Nasi Goreng Tiga De Nok - Palmerah sekarang ada di ShopeeFood! Pesan Sekarang, langsung diantar. https://t.co/WnLvfcwVNg https://t.co/CStux6fluk","nasi goreng tiga de nok - palmerah sekarang ada di shopeefood! pesan sekarang, langsung diantar. https://t.co/wnlvfcwvng https://t.co/cstux6fluk",nasi goreng tiga de nok palmerah sekarang ada di shopeefood pesan sekarang langsung diantar,nasi goreng de nok palmerah shopeefood pesan langsung diantar,"['nasi', 'goreng', 'de', 'nok', 'palmerah', 'shopeefood', 'pesan', 'langsung', 'diantar']",nasi goreng de nok palmerah shopeefood pesan langsung diantar,"['nasi', 'goreng', 'de', 'nok', 'palmerah', 'shopeefood', 'pesan', 'langsung', 'antar']"
ajarin gimana cara make shopeefood,ajarin gimana cara make shopeefood,ajarin gimana cara make shopeefood,ajarin gimana make shopeefood,"['ajarin', 'gimana', 'make', 'shopeefood']",ajarin gimana make shopeefood,"['ajarin', 'gimana', 'make', 'shopeefood']"
